기준_년분기_코드,자치구_코드,총_유동인구_수,월_평균_소득_금액,지출_총금액,운영_영업_개월_평균,폐업_영업_개월_평균,집객시설_수,점포_수,폐업_점포_수,공시지가
20222,11710,126379573,3995905,202000000000.0,98,48,2810,40032,793,6290919
20222,11680,146029635,4943841,2510000000000.0,91,47,4084,58018,1109,12268132
20222,11650,100273557,4912401,598000000000.0,105,52,2779,38451,657,7403581
20222,11620,132961363,2771927,112000000000.0,92,48,2255,19974,496,4203577
20222,11590,86511159,3454170,175000000000.0,105,53,1934,15584,309,4506925
20222,11560,110057211,3604887,269000000000.0,102,50,2400,27408,498,4709922
20222,11545,38465498,2632285,72235124000.0,97,49,1320,17331,341,3102373
20222,11530,79076688,2994059,1270000000000.0,103,49,2192,23588,449,3095948
20222,11500,114409176,3160623,216000000000.0,83,47,2714,28473,647,2994489
20222,11470,79748002,3796034,280000000000.0,96,48,1762,18785,448,3582827
20222,11440,116619704,3832436,1010000000000.0,83,47,2232,29037,682,6480667
20222,11410,95215685,3417706,140000000000.0,99,51,1909,14189,304,3983186
20222,11380,101619410,2912739,85688627000.0,92,49,2144,19047,422,3372155
20222,11350,99530579,3195375,121000000000.0,93,48,2586,19068,364,2722523
20222,11320,66497209,2785111,47905409000.0,98,48,1432,11620,255,2507295
20222,11305,98541307,2547460,59668097000.0,96,46,1843,13237,315,2759774
20222,11290,121460249,3281773,80163306000.0,96,51,2380,17299,304,3361407
20222,11260,100756172,2598785,65174984000.0,95,47,1840,16524,343,3169617
20222,11230,108112200,3030256,91254964000.0,108,51,1987,20312,370,3987227
20222,11215,94990472,3192971,95321176000.0,94,49,1602,18969,403,4659479
20222,11200,75781813,3734499,86802390000.0,96,52,1693,18718,367,5044931
20222,11170,66417298,3971498,248000000000.0,104,54,1504,18601,339,7270912
20222,11140,60761908,3513603,2350000000000.0,115,60,2071,38804,488,10507645
20222,11110,70354417,3725859,320000000000.0,121,60,2058,23453,351,6283933
20221,11740,110865619,3292857,162000000000.0,93,47,2063,21543,556,4351465
20221,11710,126723701,3995905,174000000000.0,97,48,2810,39670,996,6290919
20221,11680,140149206,4943841,2340000000000.0,90,47,4084,57351,1417,12268132
20221,11650,98533121,4912401,596000000000.0,104,51,2779,38144,866,7403581
20221,11620,133555800,2771927,96838207000.0,91,48,2255,19846,588,4203577
20221,11590,86369338,3454170,145000000000.0,104,53,1934,15445,373,4506925
20221,11560,109291932,3604887,255000000000.0,101,50,2400,27094,656,4709922
20221,11545,39028282,2632285,59631708000.0,95,49,1320,17220,373,3102373
20221,11530,79909696,2994059,1240000000000.0,101,49,2192,23451,639,3095948
20221,11500,116254725,3160623,177000000000.0,82,47,2714,28082,796,2994489
20221,11470,81001994,3796034,264000000000.0,95,48,1762,18628,484,3582827
20221,11440,113723531,3832436,1000000000000.0,82,47,2232,28619,746,6480667
20221,11410,93514626,3417706,134000000000.0,98,51,1909,14053,318,3983186
20221,11380,103625410,2912739,73677548000.0,91,49,2144,18820,506,3372155
20221,11350,100644466,3195375,103000000000.0,91,48,2586,18898,476,2722523
20221,11320,66984664,2785111,41451493000.0,97,48,1432,11527,292,2507295
20221,11305,99870302,2547460,49010261000.0,95,46,1843,13128,359,2759774
20221,11290,118067924,3281773,66493355000.0,95,51,2380,16967,468,3361407
20221,11260,102401242,2598785,55422406000.0,94,47,1840,16358,419,3169617
20221,11230,105728950,3030256,78353536000.0,108,51,1987,20150,436,3987227
