,gu_name,year,quarter,real
0,종로구,2025,1,0.02609549841974887
1,중구,2025,1,0.024581971420081578
2,용산구,2025,1,0.029784265321455405
3,성동구,2025,1,0.02984841381465854
4,광진구,2025,1,0.03662632617156262
5,동대문구,2025,1,0.03356401384083045
6,중랑구,2025,1,0.03839409879678336
7,성북구,2025,1,0.03452506133894147
8,강북구,2025,1,0.038856875876031774
9,도봉구,2025,1,0.03592608508809626
10,노원구,2025,1,0.03805019616273445
11,은평구,2025,1,0.039613684727451304
12,서대문구,2025,1,0.037215317192327034
13,마포구,2025,1,0.037027153245713526
14,양천구,2025,1,0.03323574062025591
15,강서구,2025,1,0.04082131508188707
16,구로구,2025,1,0.031178576048988743
17,금천구,2025,1,0.033628318584070796
18,영등포구,2025,1,0.03321140125312375
19,동작구,2025,1,0.035407445977609996
20,관악구,2025,1,0.040109389243391066
21,서초구,2025,1,0.024331151090262383
22,강남구,2025,1,0.02982476892140793
23,송파구,2025,1,0.03349150159423565
24,강동구,2025,1,0.0341720890021386
25,종로구,2025,2,0.019854824935952177
26,중구,2025,2,0.020539922089950695
27,용산구,2025,2,0.024793388429752067
28,성동구,2025,2,0.027295544865090986
29,광진구,2025,2,0.028011951766086864
30,동대문구,2025,2,0.030852813637043314
31,중랑구,2025,2,0.03273392258457787
32,성북구,2025,2,0.02983146397322215
33,강북구,2025,2,0.03764075911489093
34,도봉구,2025,2,0.027834966647451206
35,노원구,2025,2,0.031309144000432595
36,은평구,2025,2,0.03212167801449594
37,서대문구,2025,2,0.027657735522904063
38,마포구,2025,2,0.030959855721060716
39,양천구,2025,2,0.028262405565519864
40,강서구,2025,2,0.03427871148459384
41,구로구,2025,2,0.025764685436218283
42,금천구,2025,2,0.025966565174929627
43,영등포구,2025,2,0.02927451695224207
44,동작구,2025,2,0.02883922134102379
45,관악구,2025,2,0.034857609472287436
46,서초구,2025,2,0.0202339060235976
47,강남구,2025,2,0.024187670559519977
48,송파구,2025,2,0.027158686488805876
49,강동구,2025,2,0.03035413153456998
50,종로구,2025,3,0.02339030972882663
51,중구,2025,3,0.02363266204467921
52,용산구,2025,3,0.023406670630844912
53,성동구,2025,3,0.025671860294886543
54,광진구,2025,3,0.031190019193857964
55,동대문구,2025,3,0.026885474860335195
56,중랑구,2025,3,0.029118492689790176
57,성북구,2025,3,0.02652941176470588
58,강북구,2025,3,0.03132415757000474
59,도봉구,2025,3,0.025381961557417447
60,노원구,2025,3,0.03005226480836237
61,은평구,2025,3,0.033259546209186495
62,서대문구,2025,3,0.030504553997397717
63,마포구,2025,3,0.030704535593899143
64,양천구,2025,3,0.02603685383486438
65,강서구,2025,3,0.03184780323733445
66,구로구,2025,3,0.0282915737461192
67,금천구,2025,3,0.027535646250649425
68,영등포구,2025,3,0.029207486474630794
69,동작구,2025,3,0.027190332326283987
70,관악구,2025,3,0.03242163491087892
71,서초구,2025,3,0.024193339044207358
72,강남구,2025,3,0.02602889070591442
73,송파구,2025,3,0.028154749848085883
74,강동구,2025,3,0.02949098379365442
